"Produktionsdatum_T11","Herstellernummer_T11","Werksnummer_T11","Fehlerhaft_T11","Origin","IDNummer_T11","ID_zweitesBauteil","ID_drittesBauteil","ID_Komponente","Produktionsdatum_Sitze","Herstellernummer_Sitze","Werksnummer_Sitze","Fehlerhaft_Sitze","ID_Karosserie","ID_Schaltung","ID_Motor","ID_Fahrzeug","Produktionsdatum_Fahrzeug","Herstellernummer_Fahrzeug","Werksnummer_Fahrzeug","Fehlerhaft_Fahrzeug","Gemeinden","Jahr der Zulassung","Monat der Zulassung","Zulassungstag","Postleitzahl","Laengengrad","Breitengrad","Zulassungsdatum"
14236,213,2131,0,"origin = 1970-01-01","11-213-2131-19000","14-214-2141-926","15-209-2093-3946","K2LE1-109-1091-7921","2009-01-01",109,1091,0,"K4-112-1121-31896","K3AG1-106-1061-3727","K1DI1-103-1031-7124","11-1-12-11706","2009-01-10",1,12,0,"BOCHUM","2009","03",3,44787,"7,217177","51,482699","2009-03-03"
14236,213,2131,0,"origin = 1970-01-01","11-213-2131-19020","14-214-2143-2732","15-210-2101-3808","K2LE1-109-1091-7766","2008-12-31",109,1091,0,"K4-112-1121-33186","K3AG1-106-1061-3939","K1BE1-104-1041-12860","11-1-11-20961","2009-01-11",1,11,0,"KOELN","2009","03",6,50667,"6,957068","50,938107","2009-03-06"
14236,213,2131,0,"origin = 1970-01-01","11-213-2131-19044","14-214-2143-2738","15-210-2101-3809","K2LE1-109-1091-7767","2008-12-31",109,1091,0,"K5-112-1122-6744","K3AG1-106-1061-4082","K1DI1-102-1021-3756","12-1-12-6767","2009-01-10",1,12,0,"KUEMMERSBRUCK","2009","03",2,92245,"11,877755","49,419327","2009-03-02"
14236,213,2131,0,"origin = 1970-01-01","11-213-2131-19047","14-214-2142-857","15-210-2101-3848","K2LE1-109-1091-7659","2008-12-30",109,1091,0,"K5-112-1122-6328","K3SG1-107-1071-18482","K1DI1-101-1041-7079","12-1-12-6468","2009-01-08",1,12,0,"MENSLAGE","2009","03",2,49637,"7,818913","52,674882","2009-03-02"
14236,213,2131,0,"origin = 1970-01-01","11-213-2131-19048","14-214-2143-2739","15-210-2101-3813","K2LE1-109-1091-7768","2008-12-31",109,1091,0,"K5-112-1122-6745","K3AG1-105-1051-2451","K1DI1-102-1021-3766","12-1-12-6768","2009-01-10",1,12,0,"KUEMMERSBRUCK","2009","03",2,92245,"11,877755","49,419327","2009-03-02"
14236,213,2131,0,"origin = 1970-01-01","11-213-2131-19050","14-214-2143-2740","15-210-2101-3815","K2LE1-109-1091-7769","2008-12-31",109,1091,0,"K5-112-1122-6626","K3AG1-108-1082-1562","K1DI1-102-1021-3607","12-1-12-6621","2009-01-09",1,12,0,"MICHELFELD","2009","03",2,74545,"9,679757","49,097131","2009-03-02"
14236,213,2131,0,"origin = 1970-01-01","11-213-2131-19051","14-214-2142-866","15-210-2101-3850","K2LE1-109-1091-7660","2008-12-30",109,1091,0,"K4-112-1121-32469","K3SG1-105-1051-12749","K1BE1-104-1041-12339","11-1-12-11833","2009-01-10",1,12,0,"MUENSTER1","2009","03",3,86692,"10,906217","48,623205","2009-03-03"
14236,213,2131,0,"origin = 1970-01-01","11-213-2131-19054","14-214-2143-2745","15-210-2101-3816","K2LE1-109-1091-7770","2008-12-31",109,1091,0,"K4-112-1121-31822","K3SG1-107-1071-18409","K1DI1-102-1021-3560","11-1-12-11559","2009-01-09",1,12,0,"WEICHS","2009","03",2,85258,"11,414041","48,380647","2009-03-02"
14236,213,2131,0,"origin = 1970-01-01","11-213-2131-19056","14-214-2143-2749","15-210-2101-3817","K2LE1-109-1091-7771","2008-12-31",109,1091,0,"K4-112-1121-30626","K3SG1-105-1051-12169","K1DI1-101-1041-7109","11-1-12-11164","2009-01-08",1,12,0,"GLATTBACH","2009","03",2,63864,"9,149913","50,007221","2009-03-02"
14236,213,2131,0,"origin = 1970-01-01","11-213-2131-19061","14-214-2143-2615","15-210-2101-3566","K2LE1-109-1091-7546","2008-12-30",109,1091,0,"K4-112-1121-31359","K3SG1-107-1071-18698","K1DI1-103-1031-7558","11-1-12-11454","2009-01-09",1,12,0,"WEYARN","2009","03",2,83629,"11,801372","47,857561","2009-03-02"
14236,213,2131,0,"origin = 1970-01-01","11-213-2131-19064","14-214-2143-2753","15-210-2101-3827","K2LE1-109-1091-7772","2008-12-31",109,1091,0,"K4-112-1121-32133","K3SG1-105-1051-12424","K1DI1-102-1021-3706","11-1-11-20386","2009-01-10",1,11,0,"OBERSCHNEIDING","2009","03",2,94363,"12,642453","48,796503","2009-03-02"
14236,213,2131,0,"origin = 1970-01-01","11-213-2131-19065","14-214-2142-867","15-210-2101-3853","K2LE1-109-1091-7661","2008-12-30",109,1091,0,"K4-112-1121-31842","K3SG1-105-1051-12754","K1BE1-104-1041-12086","11-1-12-11567","2009-01-09",1,12,0,"WANG","2009","03",2,85368,"11,935058","48,495301","2009-03-02"
14236,213,2131,0,"origin = 1970-01-01","11-213-2131-19066","14-214-2142-869","15-210-2101-3858","K2LE1-109-1091-7662","2008-12-30",109,1091,0,"K4-112-1121-29656","K3AG1-108-1082-1416","K1DI1-103-1031-6743","11-1-12-10826","2009-01-07",1,12,0,"KAUFUNGEN","2009","03",2,34260,"9,633789","51,282759","2009-03-02"
14236,213,2131,0,"origin = 1970-01-01","11-213-2131-19076","14-214-2141-928","15-209-2093-3947","K2LE1-109-1091-7922","2009-01-01",109,1091,0,"K4-112-1121-33505","K3AG1-106-1061-3870","K1DI1-101-1041-7822","11-1-11-21043","2009-01-11",1,11,0,"SALZGITTER","2009","03",9,38226,"10,328465","52,160601","2009-03-09"
14236,213,2131,0,"origin = 1970-01-01","11-213-2131-19081","14-214-2143-2756","15-210-2101-3829","K2LE1-109-1091-7773","2008-12-31",109,1091,0,"K4-112-1121-32758","K3SG1-105-1051-12571","K1DI1-102-1021-3742","11-1-11-20779","2009-01-11",1,11,0,"MUENSTER1","2009","03",4,86692,"10,906217","48,623205","2009-03-04"
14236,213,2131,0,"origin = 1970-01-01","11-213-2131-19084","14-214-2143-2762","15-210-2101-3834","K2LE1-109-1091-7774","2008-12-31",109,1091,0,"K4-112-1121-32335","K3SG1-107-1071-17959","K1DI1-102-1021-3664","11-1-11-20475","2009-01-10",1,11,0,"COBURG","2009","03",2,96450,"10,960194","50,25939","2009-03-02"
14236,213,2131,0,"origin = 1970-01-01","11-213-2131-19102","14-214-2143-2763","15-210-2101-3836","K2LE1-109-1091-7775","2008-12-31",109,1091,0,"K4-112-1121-32662","K3SG1-107-1071-18616","K1BE1-104-1041-11955","11-1-11-20743","2009-01-11",1,11,0,"AUGSBURG","2009","03",4,86150,"10,892578","48,369696","2009-03-04"
14236,213,2131,0,"origin = 1970-01-01","11-213-2131-19106","14-214-2143-2612","15-210-2101-3859","K2LE1-109-1091-7663","2008-12-30",109,1091,0,"K5-112-1122-6335","K3SG1-107-1071-18485","K1DI1-101-1041-7084","12-1-12-6469","2009-01-08",1,12,0,"MENSLAGE","2009","03",2,49637,"7,818913","52,674882","2009-03-02"
14236,213,2131,0,"origin = 1970-01-01","11-213-2131-19113","14-214-2143-2620","15-210-2101-3862","K2LE1-109-1091-7664","2008-12-30",109,1091,0,"K4-112-1121-31848","K3SG1-105-1051-12418","K1BE1-101-1011-5951","11-1-11-20134","2009-01-09",1,11,0,"TUNINGEN","2009","03",2,78609,"8,602088","48,026202","2009-03-02"
14236,213,2131,0,"origin = 1970-01-01","11-213-2131-19115","14-214-2141-930","15-209-2093-3948","K2LE1-109-1091-7923","2009-01-01",109,1091,0,"K5-112-1122-6768","K3SG1-107-1071-18626","K1BE1-104-1041-11587","12-1-12-6779","2009-01-11",1,12,0,"BOTTROP","2009","03",4,46236,"6,929939","51,523694","2009-03-04"
14236,213,2131,0,"origin = 1970-01-01","11-213-2131-19120","14-214-2143-2764","15-210-2101-3839","K2LE1-109-1091-7776","2008-12-31",109,1091,0,"K4-112-1121-30954","K3SG1-107-1071-18264","K1DI1-103-1031-7094","11-1-12-11395","2009-01-09",1,12,0,"AMERANG","2009","03",2,83123,"12,308485","47,990939","2009-03-02"
14236,213,2131,0,"origin = 1970-01-01","11-213-2131-19125","14-214-2143-2623","15-210-2101-3863","K2LE1-109-1091-7665","2008-12-30",109,1091,0,"K5-112-1122-6337","K3SG1-107-1071-18502","K1DI1-101-1041-7119","12-1-12-6470","2009-01-08",1,12,0,"NORTRUP","2009","03",2,49638,"7,85948","52,614148","2009-03-02"
